Genotype,Sample,X,Y
1214,2240,78.51667,0.2189716346
1214,2240,78.55,0.2195403822
1214,2240,78.58333,0.2186203314
1214,2240,78.61667,0.216350387
1214,2240,78.65,0.2129549007
1214,2240,78.68333,0.2087866531
1214,2240,78.71667,0.2047121413
1214,2240,78.75,0.2017262914
1214,2240,78.78333,0.2006150607
1214,2240,78.81667,0.2013285317
1214,2240,78.85,0.2036078182
1214,2240,78.88333,0.2071323881
1214,2240,78.91667,0.2113351255
1214,2240,78.95,0.2155872683
1214,2240,78.98333,0.2193783275
1214,2240,79.01667,0.2226709052
1214,2240,79.05,0.2255458761
1214,2240,79.08333,0.2280022573
1214,2240,79.11667,0.2297116347
1214,2240,79.15,0.2302637365
1214,2240,79.18333,0.2294247771
1214,2240,79.21667,0.2276669162
1214,2240,79.25,0.2256387996
1214,2240,79.28333,0.2239114295
1214,2240,79.31667,0.2227452321
1214,2240,79.35,0.2223229899
1214,2240,79.38333,0.222770154
1214,2240,79.41667,0.2239828487
1214,2240,79.45,0.2257998671
1214,2240,79.48333,0.228041539
1214,2240,79.51667,0.2304543421
1214,2240,79.55,0.2327662906
1214,2240,79.58333,0.2347667554
1214,2240,79.61667,0.2364905324
1214,2240,79.65,0.2380337739
1214,2240,79.68333,0.2395678057
1214,2240,79.71667,0.2415646473
1214,2240,79.75,0.2445714916
1214,2240,79.78333,0.2489468988
1214,2240,79.81667,0.2542948985
1214,2240,79.85,0.2600308871
1214,2240,79.88333,0.2656291045
1214,2240,79.91667,0.2707991616
1214,2240,79.95,0.2753095126
1214,2240,79.98333,0.2789629885
1214,2240,80.01667,0.281699928
1214,2240,80.05,0.2834950472
1214,2240,80.08333,0.2844288726
1214,2240,80.11667,0.2850051739
1214,2240,80.15,0.2858335316
1214,2240,80.18333,0.2874232409
1214,2240,80.21667,0.2898824561
1214,2240,80.25,0.2932190464
1214,2240,80.28333,0.2974090982
1214,2240,80.31667,0.3023015677
1214,2240,80.35,0.3077136284
1214,2240,80.38333,0.313506659
1214,2240,80.41667,0.3197188595
1214,2240,80.45,0.326432635
1214,2240,80.48333,0.3336585727
1214,2240,80.51667,0.3411199887
1214,2240,80.55,0.348468381
1214,2240,80.58333,0.3554575443
1214,2240,80.61667,0.3622504598
1214,2240,80.65,0.3691124051
1214,2240,80.68333,0.3762650102
1214,2240,80.71667,0.3837553137
1214,2240,80.75,0.3915867063
1214,2240,80.78333,0.3997332913
1214,2240,80.81667,0.4080520222
1214,2240,80.85,0.4163705647
1214,2240,80.88333,0.4246076205
1214,2240,80.91667,0.4330460332
1214,2240,80.95,0.4420596824
1214,2240,80.98333,0.4520630198
1214,2240,81.01667,0.4636327869
1214,2240,81.05,0.4773862977
1214,2240,81.08333,0.4939001697
1214,2240,81.11667,0.5135882364
1214,2240,81.15,0.5368236347
1214,2240,81.18333,0.5638180632
1214,2240,81.21667,0.5941374657
1214,2240,81.25,0.6271863475
1214,2240,81.28333,0.6623899555
1214,2240,81.31667,0.6992565026
1214,2240,81.35,0.7373149433
1214,2240,81.38333,0.7761844078
1214,2240,81.41667,0.8158447277
1214,2240,81.45,0.8563659105
1214,2240,81.48333,0.8978164541
1214,2240,81.51667,0.9402588181
1214,2240,81.55,0.9837539528
1214,2240,81.58333,1.028454855
1214,2240,81.61667,1.074882708
1214,2240,81.65,1.123650742
1214,2240,81.68333,1.175269325
1214,2240,81.71667,1.229837379
1214,2240,81.75,1.287350964
1214,2240,81.78333,1.34757921
1214,2240,81.81667,1.40938352
1214,2240,81.85,1.471398366
